SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
ITA3_1;2006;ITA3;PA;ITA;1,632365977;0,419132025;84,52643857;8,242612753;7,230948678
PAB1_5;2008;PAB1;PA;PAB;1,637871331;-0,06867907;86,01380042;13,59341826;0,879334749
ITA4_2;2008;ITA4;PA;ITA;1,649445341;0,872675275;83,75698663;3,120291616;13,12272175
PAB5_1;2008;PAB5;PA;PAB;1,671550797;-0,119262158;86,52534562;13,47465438;0
PAB1_5;2006;PAB1;PA;PAB;1,67410551;-0,118487517;86,57013815;13,42986185;0
ARE_1;2008;ARE;PA;UCR;1,674823959;-0,056164459;86,43467492;12,74922601;0,816099071
ITA3_3;2006;ITA3;PA;ITA;1,701179498;-0,110278133;87,04483431;12,95516569;0
PA2_5;2007;PA2;PA;UCR;1,712703005;-0,106783972;87,24687933;12,75312067;0
TIM3_2;2007;TIM3;PA;TIM;1,719003145;0,660853935;85,5318323;4,406055901;10,0621118
ITA3_2;2007;ITA3;PA;ITA;1,731372201;0,389327429;86,40496836;7,150222639;6,444808999
SGO_4;2006;SGO;PA;UCR;1,781178491;0,345262945;87,41929134;6,913385827;5,667322835
SGO_4;2008;SGO;PA;UCR;1,782038071;0,06847217;88,09485851;9,878437625;2,026703866
TIM1_2;2006;TIM1;PA;TIM;1,788069035;-0,083931459;88,56829402;11,43170598;0
TIM1_2;2008;TIM1;PA;TIM;1,799910456;-0,080340899;88,77591313;11,22408687;0
TIM3_5;2008;TIM3;PA;TIM;1,822474223;0,28426469;88,31861452;6,980158275;4,701227205
